protein_id,go_term
YAL034W-A,GO:0005737
YAL034W-A,GO:0005856
YAL034W-A,GO:0003674
YAL035W,GO:0000462
YAL035W,GO:0001732
YAL035W,GO:0006412
YAL035W,GO:0006413
YAL035W,GO:0006446
YAL035W,GO:0042255
YAL035W,GO:0042256
YAL035W,GO:0005737
YAL035W,GO:0005739
YAL035W,GO:0005829
YAL035W,GO:0010494
YAL035W,GO:0022627
YAL035W,GO:0033290
YAL035W,GO:0003743
YAL035W,GO:0003924
YAL035W,GO:0005525
YAL035W,GO:0016787
YAL035W,GO:0031369
YAL035W,GO:0043022
YAL035W,GO:0046872
YAL035W,GO:0070181
YAL036C,GO:0002181
YAL036C,GO:1903833
YAL036C,GO:0005737
YAL036C,GO:0005777
YAL036C,GO:0010494
YAL036C,GO:0003924
YAL036C,GO:0005525
YAL037C-A,GO:0008150
YAL037C-A,GO:0005575
YAL037C-A,GO:0003674
YAL037W,GO:0008150
YAL037W,GO:0005575
YAL037W,GO:0003674
YAL038W,GO:0006090
YAL038W,GO:0006096
YAL038W,GO:0016310
YAL038W,GO:0032787
YAL038W,GO:0005737
YAL038W,GO:0005886
YAL038W,GO:0000287
YAL038W,GO:0004743
YAL038W,GO:0005524
YAL038W,GO:0016301
YAL038W,GO:0030955
YAL038W,GO:0046872
YAL039C,GO:0018063
YAL039C,GO:0005739
YAL039C,GO:0005743
YAL039C,GO:0005758
YAL039C,GO:0004408
YAL039C,GO:0016829
YAL039C,GO:0046872
YAL040C,GO:0000082
YAL040C,GO:0001932
YAL040C,GO:0006357
YAL040C,GO:0007033
YAL040C,GO:0007089
YAL040C,GO:0042144
YAL040C,GO:0044772
YAL040C,GO:0051301
YAL040C,GO:0000307
YAL040C,GO:0005634
YAL040C,GO:0005737
YAL040C,GO:0005815
YAL040C,GO:0016538
YAL041W,GO:0000282
YAL041W,GO:0000749
YAL041W,GO:0000750
YAL041W,GO:0007010
YAL041W,GO:0007096
YAL041W,GO:0030010
YAL041W,GO:0031106
YAL041W,GO:0035556
YAL041W,GO:0043577
YAL041W,GO:0072697
YAL041W,GO:0000131
YAL041W,GO:0000935
YAL041W,GO:0005634
YAL041W,GO:0005737
YAL041W,GO:0005934
YAL041W,GO:0005935
YAL041W,GO:0043332
YAL041W,GO:0120171
YAL041W,GO:0005085
YAL042W,GO:0006888
YAL042W,GO:0006890
YAL042W,GO:0015031
YAL042W,GO:0016192
YAL042W,GO:0046907
YAL042W,GO:0000139
YAL042W,GO:0005783
YAL042W,GO:0005789
YAL042W,GO:0005794
YAL042W,GO:0016020
YAL042W,GO:0030134
YAL042W,GO:0003674
YAL043C,GO:0006397
YAL043C,GO:0008033
YAL043C,GO:0030846
YAL043C,GO:0005634
YAL043C,GO:0005847
YAL043C,GO:0003723
YAL044C,GO:0006546
YAL044C,GO:0006730
YAL044C,GO:0009249
YAL044C,GO:0019464
YAL044C,GO:0044281
YAL044C,GO:0005739
YAL044C,GO:0005960
YAL044C,GO:0031405
YAL044W-A,GO:0044572
YAL044W-A,GO:0106035
YAL044W-A,GO:0005739
YAL044W-A,GO:0005759
YAL044W-A,GO:0003674
YAL046C,GO:0106035
YAL046C,GO:0005739
YAL046C,GO:0005759
YAL046C,GO:0003674
YAL047C,GO:0000741
YAL047C,GO:0007020
YAL047C,GO:0030953
YAL047C,GO:0031122
YAL047C,GO:0031578
YAL047C,GO:0051301
YAL047C,GO:0110121
YAL047C,GO:1990734
YAL047C,GO:0005737
YAL047C,GO:0005816
YAL047C,GO:0005824
YAL047C,GO:0005856
YAL047C,GO:0005876
YAL047C,GO:0061499
YAL047C,GO:1905721
YAL047C,GO:0044877
YAL047C,GO:0051010
YAL047C,GO:0099609
YAL048C,GO:0000001
YAL048C,GO:0007005
YAL048C,GO:0007264
YAL048C,GO:0010821
YAL048C,GO:0015886
YAL048C,GO:0055091
YAL048C,GO:1990456
YAL048C,GO:0005739
YAL048C,GO:0005741
YAL048C,GO:0032865
YAL048C,GO:0044233
YAL048C,GO:0003924
YAL048C,GO:0005509
YAL048C,GO:0005525
YAL048C,GO:0016787
YAL048C,GO:0046872
YAL049C,GO:0008150
YAL049C,GO:0005737
YAL049C,GO:0003674
YAL049C,GO:0016787
YAL051W,GO:0006355
YAL051W,GO:0030435
YAL051W,GO:0032000
YAL051W,GO:0045944
YAL051W,GO:0061429
YAL051W,GO:0071400
YAL051W,GO:0005634
YAL051W,GO:0089716
YAL051W,GO:0000978
YAL051W,GO:0000981
YAL051W,GO:0001228
YAL051W,GO:0003677
YAL051W,GO:0008270
YAL051W,GO:0043565
YAL051W,GO:0046872
YAL053W,GO:0006457
YAL053W,GO:0009272
YAL053W,GO:0015883
YAL053W,GO:0030148
YAL053W,GO:0035350
YAL053W,GO:0055074
YAL053W,GO:0055085
YAL053W,GO:0071476
YAL053W,GO:0005737
YAL053W,GO:0005783
YAL053W,GO:0005789
YAL053W,GO:0016020
YAL053W,GO:0015230
YAL054C,GO:0006085
YAL054C,GO:0019427
YAL054C,GO:0019654
YAL054C,GO:0044281
YAL054C,GO:0005634
YAL054C,GO:0005737
YAL054C,GO:0005739
YAL054C,GO:0005783
YAL054C,GO:0005829
YAL054C,GO:0003987
YAL054C,GO:0005524
YAL054C,GO:0016208
YAL054C,GO:0016874
YAL054C,GO:0016880
YAL055W,GO:0007031
YAL055W,GO:0016562
YAL055W,GO:0031398
YAL055W,GO:1902499
YAL055W,GO:0005737
YAL055W,GO:0005777
YAL055W,GO:0005778
YAL055W,GO:0016020
YAL055W,GO:0097027
YAL056W,GO:0001403
YAL056W,GO:0007124
YAL056W,GO:0007165
YAL056W,GO:0010255
YAL056W,GO:0030437
YAL056W,GO:0046580
YAL056W,GO:0005737
YAL056W,GO:0005739
YAL056W,GO:0005886
YAL056W,GO:0004862
YAL056W,GO:0032794
YAL058W,GO:0006457
YAL058W,GO:0036503
YAL058W,GO:0005783
YAL058W,GO:0005789
YAL058W,GO:0016020
YAL058W,GO:0005509
YAL058W,GO:0005515
YAL058W,GO:0030246
YAL058W,GO:0051082
YAL059W,GO:0000055
YAL059W,GO:0042254
YAL059W,GO:0005634
YAL059W,GO:0005730
YAL059W,GO:0005737
YAL059W,GO:0030687
YAL059W,GO:0003674
YAL060W,GO:0006066
YAL060W,GO:0034079
YAL060W,GO:0005737
YAL060W,GO:0000721
YAL060W,GO:0008270
YAL060W,GO:0016491
YAL060W,GO:0046872
YAL061W,GO:0008150
YAL061W,GO:0034079
YAL061W,GO:0005634
YAL061W,GO:0005737
YAL061W,GO:0000721
YAL061W,GO:0008270
YAL061W,GO:0016491
YAL061W,GO:0016616
YAL061W,GO:0046872
YAL061W,GO:0052587
YAL062W,GO:0006520
YAL062W,GO:0006537
YAL062W,GO:0005634
YAL062W,GO:0005739
YAL062W,GO:0005829
YAL062W,GO:0004353
YAL062W,GO:0004354
YAL062W,GO:0016491
YAL062W,GO:0016639
YAL063C,GO:0000128
YAL063C,GO:0031589
YAL063C,GO:0005576
YAL063C,GO:0009277
YAL063C,GO:0016020
YAL063C,GO:0098552
YAL063C,GO:0005537
YAL063C-A,GO:0008150
YAL063C-A,GO:0005575
YAL063C-A,GO:0003674
YAL064C-A,GO:0008150
YAL064C-A,GO:0005575
YAL064C-A,GO:0003674
YAL064W,GO:0008150
